Model,GPCR,AgonistRank,Class,Model_class,Family,Unseen
Chai-1,galr3_human,11,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Peptide,Unseen
Chai-1,fzd6_human,1,Class F (Frizzled),Chai-1 Class F (Frizzled),Protein,Unseen
Chai-1,xcr1_human,5,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Protein,Unseen
Chai-1,mshr_human,3,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Peptide,Seen
Chai-1,acthr_human,6,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Peptide,Unseen
Chai-1,mc3r_human,1,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Peptide,Unseen
Chai-1,g37l1_human,10,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Protein,Unseen
Chai-1,hrh4_human,6,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Protein,Unseen
Chai-1,crfr1_human,4,Class B1 (Secretin),Chai-1 Class B1 (Secretin),Peptide,Seen
Chai-1,fzd2_human,8,Class F (Frizzled),Chai-1 Class F (Frizzled),Protein,Unseen
Chai-1,gpr37_human,3,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Protein,Unseen
Chai-1,gp107_human,2,Other GPCRs,Chai-1 Other GPCRs,Protein,Unseen
Chai-1,fzd1_human,8,Class F (Frizzled),Chai-1 Class F (Frizzled),Protein,Unseen
AF3 LIS,agtr1_human,2,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Seen
AF3 LIS,ur2r_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,glr_human,1,Class B1 (Secretin),AF3 LIS Class B1 (Secretin),Peptide,Seen
AF3 LIS,gasr_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,agtr2_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Seen
AF3 LIS,ednra_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,ednrb_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Seen
AF3 LIS,ssr1_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,ssr5_human,2,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,glp1r_human,1,Class B1 (Secretin),AF3 LIS Class B1 (Secretin),Peptide,Seen
AF3 LIS,bkrb1_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,ntr1_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Seen
AF3 LIS,galr1_human,2,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,sctr_human,1,Class B1 (Secretin),AF3 LIS Class B1 (Secretin),Peptide,Seen
AF3 LIS,glp2r_human,1,Class B1 (Secretin),AF3 LIS Class B1 (Secretin),Peptide,Seen
AF3 LIS,fpr2_human,7,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Seen
AF3 LIS,mtlr_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,mshr_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Seen
AF3 LIS,vipr1_human,1,Class B1 (Secretin),AF3 LIS Class B1 (Secretin),Peptide,Seen
AF3 LIS,ssr3_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,vipr2_human,1,Class B1 (Secretin),AF3 LIS Class B1 (Secretin),Peptide,Unseen
AF3 LIS,npbw2_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,npy2r_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,pacr_human,2,Class B1 (Secretin),AF3 LIS Class B1 (Secretin),Peptide,Seen
AF3 LIS,mc3r_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,npy5r_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,npy4r_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,ghrhr_human,3,Class B1 (Secretin),AF3 LIS Class B1 (Secretin),Peptide,Seen
AF3 LIS,v1ar_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,gipr_human,4,Class B1 (Secretin),AF3 LIS Class B1 (Secretin),Peptide,Unseen
AF3 LIS,ntr2_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,npff1_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,npy1r_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,kissr_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,fpr1_human,11,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,calcr_human,1,Class B1 (Secretin),AF3 LIS Class B1 (Secretin),Peptide,Unseen
AF3 LIS,oxyr_human,3,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,ccr5_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Seen
AF3 LIS,cml1_human,5,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Unseen
AF3 LIS,cml2_human,5,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Unseen
AF3 LIS,nmbr_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,crfr2_human,1,Class B1 (Secretin),AF3 LIS Class B1 (Secretin),Peptide,Seen
AF3 LIS,cxcr6_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Unseen
AF3 LIS,crfr1_human,2,Class B1 (Secretin),AF3 LIS Class B1 (Secretin),Peptide,Seen
AF3 LIS,ackr4_human,3,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Unseen
AF3 LIS,ccr4_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Unseen
AF3 LIS,pth1r_human,1,Class B1 (Secretin),AF3 LIS Class B1 (Secretin),Peptide,Seen
AF3 LIS,apj_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Seen
AF3 LIS,c5ar2_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,pth2r_human,1,Class B1 (Secretin),AF3 LIS Class B1 (Secretin),Peptide,Seen
AF3 LIS,bkrb2_human,2,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,ackr3_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Unseen
AF3 LIS,ccr1_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Unseen
AF3 LIS,mc4r_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Seen
AF3 LIS,c5ar1_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,nmur2_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,oprd_human,2,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Seen
AF3 LIS,ccr9_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Unseen
AF3 LIS,gnrhr_human,2,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,ccr3_human,2,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Unseen
AF3 LIS,mchr2_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,ssr4_human,2,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,grpr_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,mc5r_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,ccr6_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Seen
AF3 LIS,gp107_human,9,Other GPCRs,AF3 LIS Other GPCRs,Protein,Unseen
AF3 LIS,ccr10_human,2,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Unseen
AF3 LIS,cxcr1_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Unseen
AF3 LIS,qrfpr_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,npsr1_human,7,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,calrl_human,1,Class B1 (Secretin),AF3 LIS Class B1 (Secretin),Peptide,Seen
AF3 LIS,cx3c1_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Unseen
AF3 LIS,v1br_human,2,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,ccr2_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Unseen
AF3 LIS,lgr5_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Unseen
AF3 LIS,lgr6_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Unseen
AF3 LIS,nk2r_human,2,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,cxcr4_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Unseen
AF3 LIS,mrgx2_human,4,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Unseen
AF3 LIS,ackr1_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Unseen
AF3 LIS,ccr8_human,2,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Unseen
AF3 LIS,lgr4_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Unseen
AF3 LIS,xcr1_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Unseen
AF3 LIS,ackr2_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Unseen
AF3 LIS,ccr7_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Unseen
AF3 LIS,gpr75_human,7,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Unseen
AF3 LIS,galr3_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,cckar_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Seen
AF3 LIS,pkr1_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Unseen
AF3 LIS,oprx_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,nmur1_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,cxcr3_human,4,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Unseen
AF3 LIS,nk3r_human,5,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,cxcr5_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Unseen
AF3 LIS,acthr_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,mchr1_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,ssr2_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,cxcr2_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Seen
AF3 LIS,c3ar_human,2,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Seen
AF3 LIS,ox2r_human,6,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Seen
AF3 LIS,rl3r1_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,oprk_human,8,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,npff2_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,nk1r_human,4,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,mrgx1_human,5,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Unseen
AF3 LIS,pkr2_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Unseen
AF3 LIS,galr2_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,oprm_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,prlhr_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,ghsr_human,3,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Seen
AF3 LIS,ox1r_human,6,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,v2r_human,2,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Seen
AF3 LIS,npbw1_human,2,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,par4_human,7,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,fpr3_human,6,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Peptide,Unseen
AF3 LIS,gpr39_human,9,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Unseen
AF3 LIS,fzd2_human,2,Class F (Frizzled),AF3 LIS Class F (Frizzled),Protein,Unseen
AF3 LIS,fzd1_human,1,Class F (Frizzled),AF3 LIS Class F (Frizzled),Protein,Unseen
AF3 LIS,hrh4_human,11,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Unseen
AF3 LIS,g37l1_human,10,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Unseen
AF3 LIS,gpr37_human,6,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Unseen
AF3 LIS,fzd6_human,8,Class F (Frizzled),AF3 LIS Class F (Frizzled),Protein,Unseen
AF3 LIS,fshr_human,6,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Protein,Unseen
RF-AA,acthr_human,8,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,npbw1_human,3,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,gnrhr_human,2,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,mshr_human,2,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Seen
RF-AA,mchr2_human,3,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,npbw2_human,6,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,xcr1_human,9,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Protein,Unseen
RF-AA,ccr5_human,2,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Protein,Seen
RF-AA,mc3r_human,2,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,fpr1_human,11,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,agtr1_human,5,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Seen
RF-AA,fpr3_human,4,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,ccr1_human,10,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Protein,Unseen
RF-AA,bkrb1_human,1,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,mc5r_human,1,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,ghrhr_human,4,Class B1 (Secretin),RF-AA Class B1 (Secretin),Peptide,Seen
RF-AA,fpr2_human,2,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Seen
RF-AA,galr1_human,6,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,ccr3_human,2,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Protein,Unseen
RF-AA,cxcr6_human,11,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Protein,Unseen
RF-AA,cxcr1_human,1,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Protein,Unseen
RF-AA,mc4r_human,4,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Seen
RF-AA,ackr4_human,1,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Protein,Unseen
RF-AA,ccr7_human,1,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Protein,Unseen
RF-AA,ccr4_human,2,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Protein,Unseen
RF-AA,sctr_human,2,Class B1 (Secretin),RF-AA Class B1 (Secretin),Peptide,Seen
RF-AA,ccr8_human,2,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Protein,Unseen
RF-AA,cml2_human,10,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Protein,Unseen
RF-AA,ccr9_human,5,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Protein,Unseen
RF-AA,par4_human,11,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,ackr3_human,9,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Protein,Unseen
RF-AA,ghsr_human,6,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Seen
RF-AA,cx3c1_human,11,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Protein,Unseen
RF-AA,agtr2_human,2,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Seen
RF-AA,c5ar2_human,1,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,cxcr2_human,5,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Protein,Seen
RF-AA,cxcr4_human,3,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Protein,Unseen
RF-AA,prlhr_human,5,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,c5ar1_human,4,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,glr_human,7,Class B1 (Secretin),RF-AA Class B1 (Secretin),Peptide,Seen
RF-AA,mrgx1_human,2,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Protein,Unseen
RF-AA,gipr_human,3,Class B1 (Secretin),RF-AA Class B1 (Secretin),Peptide,Unseen
RF-AA,pkr2_human,11,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Protein,Unseen
RF-AA,oprx_human,4,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,oprd_human,1,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Seen
RF-AA,vipr2_human,1,Class B1 (Secretin),RF-AA Class B1 (Secretin),Peptide,Unseen
RF-AA,glp1r_human,3,Class B1 (Secretin),RF-AA Class B1 (Secretin),Peptide,Seen
RF-AA,cxcr3_human,7,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Protein,Unseen
RF-AA,cml1_human,9,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Protein,Unseen
RF-AA,ssr2_human,2,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,ednra_human,6,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,npy1r_human,1,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,pkr1_human,9,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Protein,Unseen
RF-AA,npy2r_human,2,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,ccr10_human,1,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Protein,Unseen
RF-AA,v2r_human,3,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Seen
RF-AA,npy4r_human,1,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,npsr1_human,5,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,nmbr_human,1,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,ntr2_human,1,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,nk2r_human,1,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,mrgx2_human,5,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Protein,Unseen
RF-AA,ackr2_human,1,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Protein,Unseen
RF-AA,apj_human,2,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Seen
RF-AA,ssr5_human,4,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,ccr6_human,8,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Protein,Seen
RF-AA,ackr1_human,3,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Protein,Unseen
RF-AA,oprk_human,6,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,bkrb2_human,1,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,galr3_human,11,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,nmur1_human,5,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,grpr_human,6,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,cxcr5_human,3,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Protein,Unseen
RF-AA,vipr1_human,2,Class B1 (Secretin),RF-AA Class B1 (Secretin),Peptide,Seen
RF-AA,calcr_human,9,Class B1 (Secretin),RF-AA Class B1 (Secretin),Peptide,Unseen
RF-AA,ccr2_human,2,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Protein,Unseen
RF-AA,ntr1_human,2,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Seen
RF-AA,ox1r_human,10,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,pacr_human,1,Class B1 (Secretin),RF-AA Class B1 (Secretin),Peptide,Seen
RF-AA,nmur2_human,6,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,kissr_human,2,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,calrl_human,6,Class B1 (Secretin),RF-AA Class B1 (Secretin),Peptide,Seen
RF-AA,oxyr_human,4,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,ssr4_human,4,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,mtlr_human,3,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,ednrb_human,2,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Seen
RF-AA,oprm_human,7,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,ssr1_human,4,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,crfr2_human,8,Class B1 (Secretin),RF-AA Class B1 (Secretin),Peptide,Seen
RF-AA,crfr1_human,9,Class B1 (Secretin),RF-AA Class B1 (Secretin),Peptide,Seen
RF-AA,galr2_human,4,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,nk1r_human,2,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,qrfpr_human,1,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,hrh4_human,10,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Protein,Unseen
RF-AA,cckar_human,1,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Seen
RF-AA,mchr1_human,7,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,ur2r_human,2,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,v1ar_human,2,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,fshr_human,1,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Protein,Unseen
RF-AA,npff1_human,1,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,ox2r_human,7,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Seen
RF-AA,ssr3_human,4,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,gpr39_human,9,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Protein,Unseen
RF-AA,gasr_human,2,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,v1br_human,1,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,rl3r1_human,4,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,nk3r_human,1,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,fzd2_human,10,Class F (Frizzled),RF-AA Class F (Frizzled),Protein,Unseen
RF-AA,npy5r_human,2,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Unseen
RF-AA,g37l1_human,7,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Protein,Unseen
RF-AA,pth2r_human,1,Class B1 (Secretin),RF-AA Class B1 (Secretin),Peptide,Seen
RF-AA,gp107_human,6,Other GPCRs,RF-AA Other GPCRs,Protein,Unseen
RF-AA,lgr5_human,10,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Protein,Unseen
RF-AA,glp2r_human,6,Class B1 (Secretin),RF-AA Class B1 (Secretin),Peptide,Seen
RF-AA,c3ar_human,10,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Peptide,Seen
RF-AA,lgr6_human,10,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Protein,Unseen
RF-AA,lgr4_human,10,Class A (Rhodopsin),RF-AA Class A (Rhodopsin),Protein,Unseen
RF-AA,pth1r_human,5,Class B1 (Secretin),RF-AA Class B1 (Secretin),Peptide,Seen
