Model,GPCR,AgonistRank,Class,Model_class,Unseen
AF3 LIS,pth1r_human,1,Class B1 (Secretin),AF3 LIS Class B1 (Secretin),Seen
AF3 LIS,apj_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Seen
AF3 LIS,c5ar2_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,pth2r_human,1,Class B1 (Secretin),AF3 LIS Class B1 (Secretin),Seen
AF3 LIS,bkrb2_human,2,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,ackr3_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,ccr1_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,mc4r_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Seen
AF3 LIS,c5ar1_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,nmur2_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,oprd_human,2,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Seen
AF3 LIS,ccr9_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,gnrhr_human,2,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,ccr3_human,2,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,mchr2_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,ssr4_human,2,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,grpr_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,mc5r_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,ccr6_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Seen
AF3 LIS,ccr10_human,2,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,cxcr1_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,qrfpr_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,npsr1_human,7,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,calrl_human,1,Class B1 (Secretin),AF3 LIS Class B1 (Secretin),Seen
AF3 LIS,cx3c1_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,v1br_human,2,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,ccr2_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,lgr5_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,lgr6_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,nk2r_human,2,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,cxcr4_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,mrgx2_human,4,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,ackr1_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,ccr8_human,2,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,lgr4_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,xcr1_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,ackr2_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,ccr7_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,gpr75_human,7,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,galr3_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,cckar_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Seen
AF3 LIS,pkr1_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,oprx_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,nmur1_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,cxcr3_human,4,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,nk3r_human,5,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,cxcr5_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,acthr_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,mchr1_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,ssr2_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,cxcr2_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Seen
AF3 LIS,c3ar_human,2,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Seen
AF3 LIS,ox2r_human,6,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Seen
AF3 LIS,rl3r1_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,oprk_human,8,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,npff2_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,nk1r_human,4,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,mrgx1_human,5,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,pkr2_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,galr2_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,oprm_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,prlhr_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,ghsr_human,3,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Seen
AF3 LIS,ox1r_human,6,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,v2r_human,2,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Seen
AF3 LIS,npbw1_human,2,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,par4_human,7,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,fpr3_human,6,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,gpr39_human,9,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,hrh4_human,11,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,g37l1_human,10,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,gpr37_human,6,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,fshr_human,6,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
